Type,Country,Commune,Postal index,Price
Apartments,Belgium,Anderlecht,1070,1940
Apartments,Belgium,Auderghem,1160,3130
Apartments,Belgium,Berchem-Sainte-Agathe,1082,2040
Apartments,Belgium,Bruxelles,1000,2790
Apartments,Belgium,Etterbeek,1040,2940
Apartments,Belgium,Evere,1140,2610
Apartments,Belgium,Vorst,1190,2520
Apartments,Belgium,Ganshoren,1083,2040
Apartments,Belgium,Ixelles,1050,3380
Apartments,Belgium,Jette,1090,1880
Apartments,Belgium,Koekelberg,1081,2000
Apartments,Belgium,Molenbeek-Saint-Jean,1080,2000
Apartments,Belgium,Sint-Gillis,1060,2570
Apartments,Belgium,Saint-Josse-ten-Noode,1210,1930
Apartments,Belgium,Schaerbeek,1030,2260
Apartments,Belgium,Uccle,1180,3520
Apartments,Belgium,Watermael-Boitsfort,1170,3190
Apartments,Belgium,Woluwe-Saint-Lambert,1200,3660
Apartments,Belgium,Woluwe-Saint-Pierre,1150,3750
